연도,시도,학제,위험도_pct,위험도_점수
2012,대전,고,2.9022407395053746,10.43
2013,대전,고,2.9240301531736246,10.55
2014,대전,고,2.4523540489346654,7.96
2015,대전,고,2.2620312349360647,6.91
2016,대전,고,3.0367737948978126,11.17
2017,대전,고,3.4164197620009853,13.25
2018,대전,고,3.5963987350848536,14.23
2019,대전,고,3.9967030651136377,16.43
2020,대전,고,3.891335753349634,15.85
2021,대전,고,4.806420277271817,20.87
2022,대전,고,5.262210709458795,23.37
2023,대전,고,6.345931019411202,29.32
2024,대전,고,7.791978338042025,37.26
2012,대전,중,2.2593797312684907,6.9
2013,대전,중,2.4508634743975737,7.95
2014,대전,중,2.5807956789464463,8.66
2015,대전,중,2.6669579531063725,9.14
2016,대전,중,2.9153239114728997,10.5
2017,대전,중,2.8376884854640374,10.07
2018,대전,중,2.9918240397515903,10.92
2019,대전,중,3.6141061953377074,14.33
2020,대전,중,3.8344705421601195,15.54
2021,대전,중,3.8584930074008135,15.67
2022,대전,중,4.2735669987130285,17.95
2023,대전,중,4.834140850938892,21.03
2024,대전,중,5.2442965520495575,23.28
2012,부산,고,2.0187870913490427,5.58
2013,부산,고,2.0310183820580985,5.65
2014,부산,고,2.074652238517202,5.89
2015,부산,고,2.6446479562610747,9.02
2016,부산,고,3.6298893455321446,14.42
2017,부산,고,3.032442027108526,11.14
2018,부산,고,3.555056545691599,14.01
2019,부산,고,4.986234896889345,21.86
2020,부산,고,5.060261221392054,22.27
2021,부산,고,5.556752037667961,24.99
2022,부산,고,6.511917883401592,30.23
2023,부산,고,7.2826423385731385,34.46
2024,부산,고,8.097033676736542,38.93
2012,부산,중,2.404192458903287,7.69
2013,부산,중,2.749432718799403,9.59
2014,부산,중,2.6957536714058845,9.29
2015,부산,중,2.8669462245603388,10.23
2016,부산,중,3.2385556384783922,12.27
2017,부산,중,3.095941877628655,11.49
2018,부산,중,3.441837499068067,13.39
2019,부산,중,3.68839955634712,14.74
2020,부산,중,4.282112195877251,18.0
2021,부산,중,4.435366906988574,18.84
2022,부산,중,4.751082638681394,20.57
2023,부산,중,5.20199481406367,23.05
2024,부산,중,5.32702134061738,23.73
2012,서울,고,4.6467101277712715,20.0
2013,서울,고,4.785665000350672,20.76
2014,서울,고,5.238274012965165,23.24
2015,서울,고,5.037127918428464,22.14
2016,서울,고,6.053758318533783,27.72
2017,서울,고,6.483737431699497,30.08
2018,서울,고,6.940258335708405,32.58
2019,서울,고,8.529368050439052,41.3
2020,서울,고,9.281610099418236,45.43
2021,서울,고,9.65910590069457,47.5
2022,서울,고,11.732954152266283,58.88
2023,서울,고,12.684539195207005,64.1
2024,서울,고,15.352670275820195,78.74
2012,서울,중,2.8853279788403166,10.33
2013,서울,중,3.135929554979457,11.71
2014,서울,중,3.2542124179321443,12.36
2015,서울,중,3.6466261956541217,14.51
2016,서울,중,4.03870328243974,16.66
2017,서울,중,4.236800368740324,17.75
2018,서울,중,4.82843169780689,20.99
2019,서울,중,5.6123927374565294,25.29
2020,서울,중,6.202842694832218,28.54
2021,서울,중,6.384672728140231,29.54
2022,서울,중,6.721853545613955,31.39
2023,서울,중,7.482055164529517,35.56
2024,서울,중,7.688223049627009,36.69
2012,울산,고,1.0018408039010414,0.0
2013,울산,고,1.5477923115123597,3.0
2014,울산,고,1.8596413862131997,4.71
2015,울산,고,2.1855141334977737,6.5
2016,울산,고,2.567339326625955,8.59
2017,울산,고,2.8597729412521753,10.19
2018,울산,고,3.9585581247442096,16.22
2019,울산,고,4.512313605739285,19.26
2020,울산,고,4.529573186684947,19.36
2021,울산,고,5.543058242302463,24.92
2022,울산,고,7.844968446703524,37.55
2023,울산,고,8.244169276170835,39.74
2024,울산,고,10.603455490762803,52.68
2012,울산,중,1.2330646932596991,1.27
2013,울산,중,1.493564849821165,2.7
2014,울산,중,1.6915734376420548,3.79
2015,울산,중,2.0715441114322672,5.87
2016,울산,중,2.485714365466754,8.14
2017,울산,중,2.556096741659366,8.53
2018,울산,중,3.022554969956641,11.09
2019,울산,중,3.7132338584681754,14.88
2020,울산,중,4.878508042870525,21.27
2021,울산,중,4.938085102811495,21.6
