연도,시도,총학생수,총학급수,특수학급수,학급당_학생수,특수학급_비율,총학업중단자,총학생수_기준,학업중단률,학업중단률_중,학업중단률_고,자퇴_합계,전출_합계,전입_합계,순전출,다문화학생_합계,중도입국_합계,해외출국_합계,학생1인당_교지면적_평균,학생1인당_건물면적_평균,다문화학생_비율,중도입국_비율,해외출국_비율,자퇴_비율,proxy_index,GRDP_1인당,사교육_참여율,사교육_참여율_초,사교육_참여율_중,사교육_참여율_고,사교육비_1인당_만원,교원1인당_학생수,미달률_고_실측,미달률_중_실측,미달률_평균_실측,전국_미달률_중,전국_미달률_고,전국_미달률_평균,proxy_index_old,proxy_index_source,proxy_risk_pct,proxy_risk_score,proxy_index_v3,학력향상_원,누리과정_원,다문화이탈주민_원,돌봄교실_원,세출액,학력향상_세출비중,학력향상_억원,누리과정_세출비중,누리과정_억원,다문화이탈주민_세출비중,다문화이탈주민_억원,돌봄교실_세출비중,돌봄교실_억원,학력향상_학생당_천원,누리과정_학생당_천원,다문화이탈주민_학생당_천원,돌봄교실_학생당_천원
2019,경북,264039,12518,605,21.09,4.833,1830.0,270775.0,0.676,0.5,1.4,1075,10058,8548,1510,9092,262,330,67.64496384583957,23.300687078581888,3.443,0.0992,0.125,0.4071,50.67,40082.0,69.7,80.2,66.4,53.3,22.5,15.05,,,,6.4,5.533333333333334,5.966666666666667,35.24,위험도합성지수(Ridge),5.0,50.67,4.274,6216142500.0,,,,5175930000000.0,0.12009711298259444,62.161425,,,,,,,23.54251644643405,,,
2020,경북,258477,12506,628,20.67,5.022,1845.0,264039.0,0.699,0.5,1.6,1064,10219,9750,469,10029,273,331,69.58890401495573,24.36188090786443,3.88,0.1056,0.1281,0.4116,54.92,39887.0,60.5,63.5,62.8,52.4,20.7,14.7,,,,8.966666666666667,9.633333333333333,9.3,48.12,위험도합성지수(Ridge),5.35,54.92,6.662,9093957780.0,,,,4868870000000.0,0.18677758453193452,90.9395778,,,,,,,35.18285100802006,,,
2021,경북,256611,12512,644,20.51,5.147,1228.0,258477.0,0.475,0.3,1.1,746,9196,8635,561,10751,288,200,70.59770861509826,24.967358357875167,4.19,0.1122,0.0779,0.2907,56.59,42896.0,71.8,79.7,73.4,54.9,27.9,14.2,,,,7.833333333333333,10.366666666666664,9.1,16.15,위험도합성지수(Ridge),5.487,56.59,6.519,37920244420.0,,,,5396860000000.0,0.7026353179441379,379.2024442,,,,,,,147.7732615515313,,,
2022,경북,254181,12686,661,20.04,5.21,1696.0,256611.0,0.661,0.4,1.6,1041,8744,8326,418,11445,318,269,69.75152975000829,25.588553125763752,4.503,0.1251,0.1058,0.4096,65.42,43886.0,72.8,81.4,72.4,55.7,29.4,13.74,,,,11.1,10.766666666666666,10.933333333333334,31.68,위험도합성지수(Ridge),6.214,65.42,7.832,37384622000.0,208760226240.0,8464767510.0,15631481140.0,5116154079000.0,0.7307172814331497,373.84622,4.080413197422782,2087.6022624,0.16545177059355723,84.6476751,0.3055318682477076,156.3148114,147.0787431003891,821.3053935581337,33.30212529654065,61.49744135084841
2023,경북,249989,12638,683,19.78,5.404,1905.0,254181.0,0.749,0.4,1.9,1194,7761,6655,1106,12193,367,270,70.33305010589004,25.907044445616908,4.877,0.1468,0.108,0.4776,73.55,43886.0,73.8,84.8,70.8,55.3,31.5,13.63,,,,9.366666666666667,11.300000000000002,10.333333333333336,43.49,위험도합성지수(Ridge),6.883,73.55,7.403,50141567000.0,178139623500.0,4479642210.0,19132663930.0,5922897518000.0,0.8465715783130996,501.41567,3.0076431840771214,1781.396235,0.07563261387498482,44.7964221,0.3230287856890115,191.3266393,200.5750933041054,712.58984795331,17.919357291720836,76.53402321702154
2024,경북,243809,12485,715,19.53,5.727,2000.0,249989.0,0.8,0.4,2.0,1255,7567,6392,1175,12775,389,226,70.47561298712777,26.423754446246665,5.24,0.1596,0.0927,0.5147,80.12,43886.0,75.4,86.2,73.0,58.0,35.6,13.44,,,,9.999999999999998,9.466666666666669,9.733333333333333,46.96,위험도합성지수(Ridge),7.423,80.12,6.973,17735182000.0,172901739130.0,4764316300.0,18164875320.0,5454127036000.0,0.3251699471416566,177.35182,3.170108396609778,1729.0173913,0.08735249964940493,47.643163,0.33304826235440843,181.6487532,72.74211370375991,709.1688130052623,19.541183057229222,74.50453149801689
2012,광주,237425,7921,259,29.97,3.27,2173.0,246570.0,0.881,0.7,1.9,0,11802,12834,-1032,1086,88,482,23.87102081970928,11.921946015075454,0.457,0.0371,0.203,0.0,9.22,19799.0,70.8,85.7,74.3,44.7,23.1,20.09,1.5666666666666669,2.766666666666667,2.166666666666667,,,,58.98,위험도합성지수(Ridge),1.59,9.22,2.167,,,,,,,,,,,,,,,,,
2013,광주,228553,7839,254,29.16,3.24,1918.0,237425.0,0.808,0.6,1.7,1090,10452,10839,-387,1251,98,453,24.646778799889464,12.459810617261128,0.547,0.0429,0.1982,0.4769,16.13,20789.0,69.8,83.5,74.3,46.0,23.9,19.43,1.9666666666666668,3.6666666666666665,2.8166666666666664,,,,67.4,위험도합성지수(Ridge),2.158,16.13,2.817,5475712110.0,,,,1683110000000.0,0.32533299130775767,54.7571211,,,,,,,23.95817210887628,,,
2014,광주,220481,7787,254,28.31,3.262,1729.0,228553.0,0.756,0.5,1.6,988,9077,9523,-446,1520,153,400,25.512328405209747,13.144755971321237,0.689,0.0694,0.1814,0.4481,19.59,21944.0,68.7,80.5,73.1,47.7,23.1,18.75,2.5166666666666666,4.45,3.4833333333333334,,,,61.52,위험도합성지수(Ridge),2.443,19.59,3.483,6078976880.0,,,,1828020000000.0,0.33254433102482467,60.7897688,,,,,,,27.571431914768166,,,
2015,광주,212362,7794,255,27.25,3.272,1437.0,220481.0,0.652,0.5,1.4,853,9995,10296,-301,1898,128,288,26.65583864852754,19.21972300510312,0.894,0.0603,0.1356,0.4017,20.48,23139.0,68.8,81.6,73.1,46.7,22.8,18.15,3.0666666666666664,5.233333333333333,4.15,3.533333333333333,4.166666666666667,3.85,47.66,위험도합성지수(Ridge),2.516,20.48,4.15,3456998980.0,,,,1750550000000.0,0.19748073348376224,34.5699898,,,,,,,16.278802139742513,,,
2016,광주,202963,7726,255,26.27,3.301,1386.0,212362.0,0.653,0.5,1.3,773,7642,7360,282,2401,139,294,28.164614424046253,14.752412421743168,1.183,0.0685,0.1449,0.3809,21.49,24511.0,64.8,76.5,64.6,48.2,22.8,17.66,2.533333333333333,4.633333333333333,3.583333333333333,3.633333333333333,4.533333333333333,4.083333333333333,47.28,위험도합성지수(Ridge),2.599,21.49,3.583,4037009810.0,,,,1823090000000.0,0.22143776829448902,40.3700981,,,,,,,19.890373171464752,,,
2017,광주,195065,7713,258,25.29,3.345,1449.0,202963.0,0.714,0.5,1.3,768,7690,7551,139,2606,104,304,29.80364295438694,15.566299312275612,1.336,0.0533,0.1558,0.3937,23.69,25240.0,68.7,79.6,67.6,53.1,24.5,17.16,,,,4.3,6.333333333333333,5.316666666666666,35.45,위험도합성지수(Ridge),2.78,23.69,5.183,4306589300.0,,,,2020190000000.0,0.21317743875576062,43.065893,,,,,,,22.077714095301566,,,
2018,광주,187950,7707,257,24.39,3.335,1405.0,195065.0,0.72,0.5,1.4,770,7322,7225,97,3038,151,226,31.48880116174957,16.435221260463845,1.616,0.0803,0.1202,0.4097,29.81,26654.0,69.4,79.0,71.9,51.6,26.2,16.7,,,,6.933333333333334,6.666666666666667,6.800000000000001,37.87,위험도합성지수(Ridge),3.284,29.81,6.629,3142232110.0,,,,2123850000000.0,0.14794981331073287,31.4223211,,,,,,,16.71844698057994,,,
2019,광주,181106,7668,256,23.62,3.339,1390.0,187950.0,0.74,0.5,1.4,725,6589,6278,311,3551,147,235,33.2771324899304,17.378918282700834,1.961,0.0812,0.1298,0.4003,34.38,27799.0,73.7,82.1,73.2,59.1,27.6,16.36,,,,6.4,5.533333333333334,5.966666666666667,27.32,위험도합성지수(Ridge),3.66,34.38,5.816,4845030510.0,,,,2380090000000.0,0.2035650126675882,48.4503051,,,,,,,26.752457179773174,,,
2020,광주,175446,7625,273,23.01,3.58,1388.0,181106.0,0.766,0.4,1.5,709,6907,6826,81,3865,162,302,34.35108528680812,18.09467873545803,2.203,0.0923,0.1721,0.4041,39.21,28433.0,67.1,70.2,68.9,59.4,29.9,16.04,,,,8.966666666666667,9.633333333333333,9.3,32.39,위험도합성지수(Ridge),4.057,39.21,9.066,5362391690.0,,,,2305820000000.0,0.23255898942675493,53.6239169,,,,,,,30.564342817733092,,,
2021,광주,172634,7596,280,22.73,3.686,887.0,175446.0,0.506,0.3,1.0,437,7191,7103,88,4182,179,97,34.91546855694535,18.54761121069817,2.422,0.1037,0.0562,0.2531,36.87,29779.0,73.6,78.8,74.8,62.1,32.0,15.59,,,,7.833333333333333,10.366666666666664,9.1,6.7,위험도합성지수(Ridge),3.865,36.87,8.871,14092138500.0,,,,2548870000000.0,0.552877883140372,140.921385,,,,,,,81.63014527845036,,,
2022,광주,169208,7566,280,22.36,3.701,1105.0,172634.0,0.64,0.3,1.5,614,6452,6379,73,4371,179,108,36.52555764246926,19.43203908701624,2.583,0.1058,0.0638,0.3629,43.13,30900.0,74.9,79.9,75.7,64.0,35.6,15.37,,,,11.1,10.766666666666666,10.933333333333334,15.76,위험도합성지수(Ridge),4.38,43.13,10.658,23996077000.0,125902305210.0,1445461660.0,4882657750.0,2592032048000.0,0.9257631292990864,239.96077,4.857281965597055,1259.0230521,0.05576557825028867,14.4546166,0.18837181252320687,48.8265775,141.81408089452037,744.0682781546972,8.542513710935653,28.855950959765494
2023,광주,166287,7534,293,22.07,3.889,1409.0,169208.0,0.833,0.4,2.0,821,6173,6346,-173,4884,230,179,36.89967062849536,19.750883967282096,2.937,0.1383,0.1076,0.4937,56.54,30900.0,76.3,82.5,76.5,63.9,39.6,14.81,,,,9.366666666666667,11.300000000000002,10.333333333333336,35.5,위험도합성지수(Ridge),5.483,56.54,10.073,25488476000.0,116053736120.0,2638455780.0,1408972080.0,3057536273000.0,0.83362791882731,254.88476,3.795661792954958,1160.5373612,0.08629352342600974,26.3845578,0.046081941609070164,14.0897208,153.28002790356433,697.9122608502169,15.866879431344604,8.473134279889589
2024,광주,162736,7504,299,21.69,3.985,1623.0,166287.0,0.976,0.6,2.4,991,5489,5313,176,5225,207,142,37.273205235059855,19.987640259168803,3.211,0.1272,0.0873,0.609,60.82,30900.0,78.2,84.8,77.3,67.0,41.3,14.63,,,,9.999999999999998,9.466666666666669,9.733333333333333,46.85,위험도합성지수(Ridge),5.835,60.82,9.488,12594667000.0,116966978565.0,2839339520.0,15874254129.0,2681796416000.0,0.46963546244071047,125.94667,4.361515955020204,1169.66978565,0.1058745363018637,28.3933952,0.5919261445161094,158.74254129,77.39324427293285,718.7529407445188,17.447519417953004,97.54605083693836
2012,대구,351183,11943,360,29.4,3.014,2931.0,368376.0,0.796,0.6,1.6,0,14433,14998,-565,1217,110,851,20.201031798526184,11.836140156938912,0.347,0.0313,0.2423,0.0,9.58,18078.0,75.4,90.8,76.5,53.2,24.8,19.32,1.3666666666666665,1.3,1.3333333333333333,,,,35.14,위험도합성지수(Ridge),1.619,9.58,1.333,,,,,,,,,,,,,,,,,
2013,대구,334369,11941,376,28.0,3.149,2683.0,351183.0,0.764,0.6,1.5,1579,11717,11930,-213,1423,130,693,21.20351082404172,12.693653920089265,0.426,0.0389,0.2073,0.4722,15.78,18946.0,71.9,81.8,74.8,56.3,24.2,18.51,1.6666666666666667,2.233333333333333,1.95,,,,48.06,위험도합성지수(Ridge),2.129,15.78,1.95,4549840560.0,,,,2456690000000.0,0.18520206293834385,45.4984056,,,,,,,13.607243972975965,,,
2014,대구,319972,11863,384,26.97,3.237,2379.0,334369.0,0.711,0.5,1.4,1379,11178,11410,-232,1784,130,696,21.76447994746,13.378068113729846,0.558,0.0406,0.2175,0.431,16.75,19725.0,70.3,80.3,71.3,56.0,24.2,17.83,1.4333333333333331,1.983333333333333,1.708333333333333,,,,38.83,위험도합성지수(Ridge),2.209,16.75,1.708,3725888220.0,,,,2686100000000.0,0.13870995942072148,37.2588822,,,,,,,11.644419574212742,,,
2015,대구,305764,11714,392,26.1,3.346,1950.0,319972.0,0.609,0.4,1.2,1108,10042,10265,-223,2450,165,613,22.654380573810474,14.178310298624,0.801,0.054,0.2005,0.3624,18.75,20991.0,71.3,82.0,71.4,56.5,24.4,17.2,1.2,1.7333333333333332,1.4666666666666666,3.533333333333333,4.166666666666667,3.85,26.84,위험도합성지수(Ridge),2.374,18.75,1.467,2887610460.0,,,,2615610000000.0,0.11039912142865335,28.8761046,,,,,,,9.44391903559608,,,
2016,대구,291370,11395,403,25.57,3.537,1750.0,305764.0,0.572,0.4,1.2,1026,10024,9477,547,2951,221,535,24.01139317046156,15.28679927414254,1.013,0.0758,0.1836,0.3521,23.66,21602.0,68.9,83.8,63.2,53.0,26.5,16.62,1.1,1.2,1.15,3.633333333333333,4.533333333333333,4.083333333333333,30.44,위험도합성지수(Ridge),2.778,23.66,1.15,2740713490.0,,,,2834080000000.0,0.09670557958843787,27.4071349,,,,,,,9.406299516079212,,,
2017,대구,280265,11230,406,24.96,3.615,1994.0,291370.0,0.684,0.4,1.4,1168,11192,11448,-256,3405,240,538,25.38329807296253,16.318993989704694,1.215,0.0856,0.192,0.4167,31.06,22310.0,74.0,85.1,71.9,59.6,30.0,16.18,,,,4.3,6.333333333333333,5.316666666666666,27.53,위험도합성지수(Ridge),3.387,31.06,1.754,3494502340.0,,,,3069780000000.0,0.11383559538468555,34.9450234,,,,,,,12.468564893939664,,,
2018,대구,269570,11079,409,24.33,3.692,1948.0,280265.0,0.695,0.4,1.3,1082,9161,9422,-261,3890,243,563,26.902602720993897,17.325227606498938,1.443,0.0901,0.2089,0.4014,35.22,23151.0,73.7,83.0,73.4,59.3,30.3,15.39,,,,6.933333333333334,6.666666666666667,6.800000000000001,22.63,위험도합성지수(Ridge),3.729,35.22,2.243,3847395740.0,,,,3398600000000.0,0.11320531218737127,38.4739574,,,,,,,14.27234388099566,,,
2019,대구,259606,10932,419,23.75,3.833,1936.0,269570.0,0.718,0.5,1.4,1039,8487,8122,365,4413,289,524,28.33453890035184,18.384618358753983,1.7,0.1113,0.2018,0.4002,41.6,23883.0,75.5,84.3,73.5,61.5,32.9,14.99,,,,6.4,5.533333333333334,5.966666666666667,24.89,위험도합성지수(Ridge),4.254,41.6,1.968,5147973340.0,,,,3628550000000.0,0.14187411886290666,51.4797334,,,,,,,19.829947458841474,,,
2020,대구,250957,10846,423,23.14,3.9,1933.0,259606.0,0.745,0.6,1.5,998,8297,7840,457,4736,306,526,29.264341314125303,19.126461922788703,1.887,0.1219,0.2096,0.3977,42.99,23910.0,65.9,67.9,65.8,62.1,29.0,14.86,,,,8.966666666666667,9.633333333333333,9.3,37.9,위험도합성지수(Ridge),4.368,42.99,3.067,7779669020.0,,,,3588160000000.0,0.21681499765896728,77.7966902,,,,,,,31.00000804918771,,,
2021,대구,247137,10768,425,22.95,3.947,1211.0,250957.0,0.483,0.3,1.1,698,9399,8763,636,5133,301,183,30.090070015523377,19.863563852202,2.077,0.1218,0.074,0.2824,42.54,25543.0,79.1,87.1,77.0,65.7,40.0,14.5,,,,7.833333333333333,10.366666666666664,9.1,0.0,위험도합성지수(Ridge),4.331,42.54,3.001,26783046090.0,,,,3908700000000.0,0.6852162122956482,267.8304609,,,,,,,108.37327510651987,,,
2022,대구,242833,10777,427,22.53,3.962,1630.0,247137.0,0.66,0.3,1.5,914,8685,8526,159,5535,295,266,31.019829091420583,20.59533688629357,2.279,0.1215,0.1095,0.3764,49.61,26736.0,79.9,87.1,78.1,67.2,43.7,14.18,,,,11.1,10.766666666666666,10.933333333333334,7.38,위험도합성지수(Ridge),4.913,49.61,3.606,26267204000.0,183037641320.0,1869055510.0,11768475000.0,3722934475000.0,0.7055510693617566,262.67204,4.916488392399117,1830.3764132,0.05020382503508875,18.6905551,0.3161074974331908,117.68475,108.16982864767144,753.7593379812464,7.696876083563601,48.4632442872262
2023,대구,240221,10704,421,22.44,3.933,1875.0,242833.0,0.772,0.5,1.8,1073,7623,7786,-163,5740,327,329,31.223227151122824,20.75558749444896,2.389,0.1361,0.137,0.4467,56.04,26736.0,80.2,87.0,78.8,67.9,45.9,13.96,,,,9.366666666666667,11.300000000000002,10.333333333333336,20.93,위험도합성지수(Ridge),5.442,56.04,3.408,47402285000.0,170981657640.0,2403884120.0,12928969000.0,4392236351000.0,1.0792289214856963,474.02285,3.89281550390775,1709.8165764,0.05473029973563916,24.0388412,0.294359591943553,129.28969,197.3278148038681,711.7681536585061,10.006969082636406,53.821143863359154
2024,대구,237973,10472,433,22.72,4.135,1940.0,240221.0,0.808,0.5,2.0,1165,8175,8914,-739,6192,350,336,32.12010885325008,21.12700255314892,2.602,0.1471,0.1412,0.4896,61.16,26736.0,81.8,87.9,81.2,70.5,47.8,13.86,,,,9.999999999999998,9.466666666666669,9.733333333333333,26.94,위험도합성지수(Ridge),5.863,61.16,3.21,31668286000.0,170924924640.0,3430739500.0,22798624710.0,4085070223000.0,0.7752201130276629,316.68286,4.1841367543120445,1709.2492464,0.08398238739407834,34.307395,0.5580962741261547,227.9862471,133.07512196761817,718.253434801427,14.41650733486572,95.80340925231015
2012,대전,223759,7731,261,28.94,3.376,2853.0,231775.0,1.231,0.9,2.5,0,11347,11898,-551,907,99,1083,22.032288988231706,12.48412883314994,0.405,0.0442,0.484,0.0,17.43,21347.0,73.4,84.3,72.2,57.6,24.3,20.77,1.1666666666666667,1.8333333333333333,1.5,,,,68.54,위험도합성지수(Ridge),2.265,17.43,1.5,,,,,,,,,,,,,,,,,
2013,대전,216207,7712,258,28.04,3.345,2554.0,223759.0,1.141,1.0,2.1,1252,10238,10058,180,1143,90,991,22.84575169470124,13.158657715449705,0.529,0.0416,0.4584,0.5791,24.68,21793.0,72.7,86.1,72.1,53.5,25.9,20.09,1.6666666666666667,2.933333333333333,2.3,,,,83.28,위험도합성지수(Ridge),2.862,24.68,2.3,3524697000.0,,,,1590960000000.0,0.2215452934077538,35.24697,,,,,,,16.302418515589228,,,
2014,대전,209373,7634,262,27.43,3.432,2279.0,216207.0,1.054,0.9,1.6,950,8932,8500,432,1378,98,900,23.67664574922636,13.848547263178778,0.658,0.0468,0.4299,0.4537,24.14,22497.0,70.5,83.1,70.0,51.9,25.7,19.39,1.7000000000000002,2.8,2.25,,,,67.19,위험도합성지수(Ridge),2.817,24.14,2.25,3958870620.0,,,,1685770000000.0,0.23484049544125235,39.5887062,,,,,,,18.908219397916636,,,
2015,대전,200277,7603,274,26.34,3.604,1931.0,209373.0,0.922,0.8,1.3,721,10258,9078,1180,1667,104,771,24.83889650319509,14.734687963151892,0.832,0.0519,0.385,0.36,22.72,24094.0,70.2,82.5,69.0,52.5,25.4,18.9,1.7333333333333334,2.6666666666666665,2.2,3.533333333333333,4.166666666666667,3.85,52.11,위험도합성지수(Ridge),2.7,22.72,2.2,3446504660.0,,,,1658870000000.0,0.20776219113010663,34.4650466,,,,,,,17.208689265367465,,,
2016,대전,190672,7476,280,25.5,3.745,1580.0,200277.0,0.789,0.6,1.3,694,9592,6908,2684,2011,112,662,26.191392061762183,15.678021659554702,1.055,0.0587,0.3472,0.364,23.77,25606.0,68.8,82.6,65.7,50.8,25.7,18.24,1.8,2.4,2.1,3.633333333333333,4.533333333333333,4.083333333333333,45.35,위험도합성지수(Ridge),2.787,23.77,2.1,3226532500.0,,,,1726250000000.0,0.18690992034757423,32.265325,,,,,,,16.921899911890577,,,
2017,대전,182971,7342,275,24.92,3.746,1657.0,190672.0,0.869,0.7,1.3,692,7163,5880,1283,2254,122,582,27.549784213334544,16.46668885850569,1.232,0.0667,0.3181,0.3782,29.17,26533.0,72.7,84.7,66.6,59.0,27.6,17.36,,,,4.3,6.333333333333333,5.316666666666666,37.72,위험도합성지수(Ridge),3.231,29.17,2.882,5192138270.0,,,,1910090000000.0,0.2718268914030229,51.9213827,,,,,,,28.37683714905641,,,
2018,대전,175460,7333,301,23.93,4.105,1592.0,182971.0,0.87,0.6,1.4,698,8249,6244,2005,2564,123,541,29.16014523590045,17.42327664359094,1.461,0.0701,0.3083,0.3978,32.12,27214.0,73.8,84.6,68.6,60.2,27.0,16.7,,,,6.933333333333334,6.666666666666667,6.800000000000001,34.03,위험도합성지수(Ridge),3.474,32.12,3.686,5668608340.0,,,,2060720000000.0,0.2750790180131216,56.6860834,,,,,,,32.30712606861963,,,
2019,대전,168370,7304,309,23.05,4.231,1632.0,175460.0,0.93,0.7,1.6,749,7010,5306,1704,2858,152,594,30.75532833308507,18.52442322775507,1.697,0.0903,0.3528,0.4449,40.34,28561.0,74.5,83.8,68.7,62.5,31.1,16.29,,,,6.4,5.533333333333334,5.966666666666667,39.27,위험도합성지수(Ridge),4.15,40.34,3.234,6766208600.0,,,,2315920000000.0,0.2921607223047428,67.662086,,,,,,,40.18654510898616,,,
2020,대전,162989,7274,315,22.41,4.33,1597.0,168370.0,0.949,0.7,1.7,728,6520,5383,1137,3031,159,468,31.54823631301583,19.34462781419204,1.86,0.0976,0.2871,0.4467,41.09,29757.0,68.2,71.4,67.8,62.5,30.2,15.81,,,,8.966666666666667,9.633333333333333,9.3,44.88,위험도합성지수(Ridge),4.212,41.09,5.041,5716552740.0,,,,2346550000000.0,0.24361521126760566,57.1655274,,,,,,,35.07324261146458,,,
2021,대전,159882,7261,324,22.02,4.462,980.0,162989.0,0.601,0.5,1.2,500,6497,5521,976,3302,171,211,31.99087791062294,19.800824128766283,2.065,0.107,0.132,0.3127,38.0,31590.0,75.6,83.0,71.1,66.2,36.4,15.31,,,,7.833333333333333,10.366666666666664,9.1,13.33,위험도합성지수(Ridge),3.958,38.0,4.932,9163661450.0,,,,2508630000000.0,0.36528549247995923,91.6366145,,,,,,,57.31515398856657,,,
2022,대전,156416,7330,324,21.34,4.42,1191.0,159882.0,0.745,0.5,1.5,604,5519,4579,940,3424,172,297,33.02829387239152,20.64501779346241,2.189,0.11,0.1899,0.3861,44.36,33682.0,77.7,86.8,75.0,62.8,38.9,14.87,,,,11.1,10.766666666666666,10.933333333333334,18.41,위험도합성지수(Ridge),4.481,44.36,5.926,9600694000.0,114481772000.0,1163202900.0,10472558800.0,2514986204000.0,0.38173943001080574,96.00694,4.551984095098439,1144.81772,0.046250866034571694,11.632029,0.41640621262032174,104.725588,61.37923230360066,731.9057641162029,7.436597918371522,66.95324519230769
2023,대전,152932,7236,327,21.13,4.519,1498.0,156416.0,0.958,0.7,1.9,747,5819,5356,463,3724,190,340,33.6845398188803,21.17057423323577,2.435,0.1242,0.2223,0.4885,53.31,33682.0,77.9,86.0,73.1,67.3,41.0,14.72,,,,9.366666666666667,11.300000000000002,10.333333333333336,35.02,위험도합성지수(Ridge),5.217,53.31,5.601,10498890000.0,105145453660.0,1172930000.0,16450331500.0,3063945123000.0,0.3426592049964728,104.9889,3.431701595133302,1051.4545366,0.038281690856510814,11.7293,0.5369003307700561,164.503315,68.6507075039887,687.5307565453927,7.669617869379855,107.5663137865195
2024,대전,149590,7125,343,21.0,4.814,1570.0,152932.0,1.027,0.7,2.0,775,5286,4908,378,3838,221,401,34.18013485802708,21.5739393872621,2.566,0.1477,0.2681,0.5181,60.79,33682.0,78.6,85.9,77.3,66.8,45.7,14.6,,,,9.999999999999998,9.466666666666669,9.733333333333333,41.88,위험도합성지수(Ridge),5.833,60.79,5.276,2872056000.0,102334099660.0,1164601160.0,21651346740.0,2706891238000.0,0.10610164012803236,28.72056,3.780502822699668,1023.3409966,0.04302356680058085,11.6460116,0.7998602395269196,216.5134674,19.199518684404037,684.0971967377499,7.7852875192191995,144.73792860485327
2012,부산,413989,14968,527,27.66,3.521,4439.0,438795.0,1.012,0.9,2.0,0,17457,17011,446,1997,248,1087,21.198983746093948,13.599137277620711,0.482,0.0599,0.2626,0.0,12.92,20554.0,68.7,80.6,72.2,49.4,23.0,20.16,1.3,1.8,1.55,,,,64.21,위험도합성지수(Ridge),1.894,12.92,1.55,,,,,,,,,,,,,,,,,
2013,부산,393335,14680,532,26.79,3.624,4011.0,413989.0,0.969,0.9,1.9,2251,15961,16080,-119,2462,255,914,22.852504902547352,14.429551280972182,0.626,0.0648,0.2324,0.5723,20.84,21217.0,67.3,76.3,70.9,52.1,22.9,19.58,1.6333333333333335,2.6,2.1166666666666667,,,,81.33,위험도합성지수(Ridge),2.546,20.84,2.117,5550840990.0,,,,3296590000000.0,0.16838129673389776,55.5084099,,,,,,,14.112247804034729,,,
2014,부산,375462,14563,537,25.78,3.687,3518.0,393335.0,0.894,0.8,1.6,1826,15486,15510,-24,2770,272,921,23.92862520932647,15.324730437402245,0.738,0.0724,0.2453,0.4863,21.65,22467.0,65.8,74.3,69.6,50.9,22.7,18.92,1.8833333333333333,2.533333333333333,2.208333333333333,,,,68.2,위험도합성지수(Ridge),2.612,21.65,2.208,10818226560.0,,,,3394930000000.0,0.3186583098915147,108.1822656,,,,,,,28.81310641289931,,,
2015,부산,359076,14391,540,24.95,3.752,2926.0,375462.0,0.779,0.6,1.4,1483,13926,14057,-131,3394,335,930,25.415722478415336,16.325308394432614,0.945,0.0933,0.259,0.413,24.78,23956.0,67.8,77.2,70.3,52.6,23.4,18.48,2.1333333333333333,2.4666666666666663,2.3,3.533333333333333,4.166666666666667,3.85,53.37,위험도합성지수(Ridge),2.87,24.78,2.3,10003083390.0,,,,3463590000000.0,0.2888067984374594,100.0308339,,,,,,,27.85784455101427,,,
2016,부산,343650,13963,532,24.61,3.81,2644.0,359076.0,0.736,0.6,1.4,1414,13018,13256,-238,4248,394,846,26.804475498176203,17.29584495449905,1.236,0.1147,0.2462,0.4115,30.44,24815.0,69.8,82.8,65.2,54.9,25.6,18.15,2.2,2.3,2.25,3.633333333333333,4.533333333333333,4.083333333333333,51.53,위험도합성지수(Ridge),3.336,30.44,2.25,7522099100.0,,,,3636130000000.0,0.2068710167128238,75.220991,,,,,,,21.888837770987923,,,
2017,부산,331244,13755,533,24.08,3.875,2459.0,343650.0,0.716,0.6,1.2,1199,11951,11682,269,4581,373,728,27.941231218755263,18.36604505360781,1.383,0.1126,0.2198,0.362,31.87,25650.0,73.0,82.1,74.7,57.7,27.6,17.69,,,,4.3,6.333333333333333,5.316666666666666,38.5,위험도합성지수(Ridge),3.453,31.87,3.049,10303030750.0,,,,3935970000000.0,0.2617659877997037,103.0303075,,,,,,,31.104052450761372,,,
2018,부산,320463,13550,539,23.65,3.978,2679.0,331244.0,0.809,0.6,1.4,1365,11610,10572,1038,5152,383,745,29.12653749000747,19.25608796212252,1.608,0.1195,0.2325,0.4259,36.85,26464.0,70.3,77.9,71.3,56.8,27.6,17.37,,,,6.933333333333334,6.666666666666667,6.800000000000001,47.55,위험도합성지수(Ridge),3.863,36.85,3.9,7548431570.0,,,,4123260000000.0,0.18306950252955184,75.4843157,,,,,,,23.55476785151484,,,
2019,부산,311059,13415,544,23.19,4.055,2857.0,320463.0,0.892,0.7,1.7,1450,10277,9591,686,5740,422,804,30.504878939596,20.23928728800209,1.845,0.1357,0.2585,0.4661,44.76,27577.0,75.9,84.4,72.4,62.9,31.6,17.14,,,,6.4,5.533333333333334,5.966666666666667,49.34,위험도합성지수(Ridge),4.514,44.76,3.422,8140651460.0,,,,4797730000000.0,0.16967714856817703,81.4065146,,,,,,,26.170763295709175,,,
