연도,시도,총학생수,총학급수,특수학급수,학급당_학생수,특수학급_비율,총학업중단자,총학생수_기준,학업중단률,학업중단률_중,학업중단률_고,자퇴_합계,전출_합계,전입_합계,순전출,다문화학생_합계,중도입국_합계,해외출국_합계,학생1인당_교지면적_평균,학생1인당_건물면적_평균,다문화학생_비율,중도입국_비율,해외출국_비율,자퇴_비율,proxy_index,GRDP_1인당,사교육_참여율,사교육_참여율_초,사교육_참여율_중,사교육_참여율_고,사교육비_1인당_만원,교원1인당_학생수,미달률_고_실측,미달률_중_실측,미달률_평균_실측,전국_미달률_중,전국_미달률_고,전국_미달률_평균,proxy_index_old,proxy_index_source,proxy_risk_pct,proxy_risk_score,proxy_index_v3,학력향상_원,누리과정_원,다문화이탈주민_원,돌봄교실_원,세출액,학력향상_세출비중,학력향상_억원,누리과정_세출비중,누리과정_억원,다문화이탈주민_세출비중,다문화이탈주민_억원,돌봄교실_세출비중,돌봄교실_억원,학력향상_학생당_천원,누리과정_학생당_천원,다문화이탈주민_학생당_천원,돌봄교실_학생당_천원
2023,강원,142979,7576,370,18.87,4.884,1343.0,146273.0,0.918,0.6,2.1,745,5530,5471,59,5041,199,193,85.72605933957682,27.12960956760516,3.526,0.1392,0.135,0.5211,74.28,34426.0,72.6,82.2,69.8,57.3,32.4,12.71,,,,9.366666666666667,11.300000000000002,10.333333333333336,37.01,위험도합성지수(Ridge),6.943,74.28,12.634,6030822000.0,95706303680.0,1660104220.0,11546136270.0,4142857000000.0,0.14557157053695072,60.30822,2.3101522374535253,957.0630368,0.040071482554189054,16.6010422,0.2786998506103397,115.4613627,42.17977465222165,669.3731504626553,11.610825505843515,80.75407066772043
2024,강원,139174,7483,379,18.6,5.065,1354.0,142979.0,0.947,0.6,2.2,783,5868,5305,563,5163,234,152,87.20831877740646,27.60121814117915,3.71,0.1681,0.1092,0.5626,80.51,34426.0,73.4,85.0,69.8,56.3,33.9,12.5,,,,9.999999999999998,9.466666666666669,9.733333333333333,44.48,위험도합성지수(Ridge),7.455,80.51,11.901,17411502000.0,100912425940.0,1839137000.0,30715620000.0,3970900000000.0,0.43847747362058975,174.11502,2.541298595784331,1009.1242594,0.046315369311742925,18.39137,0.7735178423027524,307.1562,125.10599680974894,725.0810204492218,13.21465934729188,220.6994122465403
2012,경기,1701253,55538,2189,30.63,3.941,20341.0,1750261.0,1.162,1.1,2.0,0,92676,91555,1121,10411,1379,9022,19.973667459287643,11.145815710117992,0.612,0.0811,0.5303,0.0,23.24,26007.0,70.9,79.1,73.3,54.8,24.9,19.57,4.666666666666667,2.6666666666666665,3.666666666666667,,,,79.7,위험도합성지수(Ridge),2.743,23.24,3.667,,,,,,,,,,,,,,,,,
2013,경기,1658419,55909,2344,29.66,4.193,19602.0,1701253.0,1.152,1.1,2.0,8695,78807,79558,-751,12460,1550,8221,20.774236956220008,11.665813780449042,0.751,0.0935,0.4957,0.5243,31.22,27492.0,72.0,85.3,71.2,51.4,25.3,19.05,4.766666666666667,3.7,4.233333333333333,,,,100.0,위험도합성지수(Ridge),3.4,31.22,4.233,4155390420.0,,,,11072900000000.0,0.03752757109700259,41.5539042,,,,,,,2.5056336305843097,,,
2014,경기,1624893,56948,2406,28.53,4.225,17587.0,1658419.0,1.06,0.9,1.7,7607,70739,70938,-199,16003,1803,7690,21.309430861021617,12.17701442399383,0.985,0.111,0.4733,0.4682,34.03,28638.0,72.8,85.3,72.0,53.5,26.0,18.24,5.083333333333334,3.533333333333333,4.308333333333334,,,,82.73,위험도합성지수(Ridge),3.631,34.03,4.308,6837440980.0,,,,12140100000000.0,0.05632112569089216,68.3744098,,,,,,,4.2079330639002075,,,
2015,경기,1587723,56706,2391,28.0,4.216,15463.0,1624893.0,0.952,0.8,1.5,6549,67113,66859,254,18870,2087,6852,21.385393340833264,12.878256985108791,1.188,0.1314,0.4316,0.4125,35.37,30748.0,72.3,83.6,71.6,54.1,26.5,17.9,5.400000000000001,3.3666666666666667,4.383333333333334,3.533333333333333,4.166666666666667,3.85,74.7,위험도합성지수(Ridge),3.741,35.37,4.383,3193115800.0,,,,12486600000000.0,0.025572339948424713,31.931158,,,,,,,2.011129019356651,,,
2016,경기,1548781,56567,2447,27.38,4.326,14143.0,1587723.0,0.891,0.8,1.3,5701,67779,68105,-326,23714,2500,6571,22.123899476706388,13.557733730621182,1.531,0.1614,0.4243,0.3681,40.81,32336.0,71.5,81.7,66.3,59.3,27.9,17.47,5.7,3.8,4.75,3.633333333333333,4.533333333333333,4.083333333333333,69.78,위험도합성지수(Ridge),4.189,40.81,4.75,3528135630.0,,,,13363500000000.0,0.02640128431922775,35.2813563,,,,,,,2.278008078611502,,,
2017,경기,1523636,56618,2514,26.91,4.44,14330.0,1548781.0,0.925,0.8,1.4,6170,61862,64582,-2720,25718,2587,6179,26.91604631086212,14.126580882304738,1.688,0.1698,0.4055,0.405,44.79,35307.0,74.0,86.0,66.0,60.0,28.7,16.96,,,,4.3,6.333333333333333,5.316666666666666,69.25,위험도합성지수(Ridge),4.516,44.79,6.121,4102103850.0,,,,14178400000000.0,0.02893206461942109,41.0210385,,,,,,,2.6923122386186726,,,
2018,경기,1503945,57058,2594,26.36,4.546,15576.0,1523636.0,1.022,0.8,1.6,6742,62325,67203,-4878,29061,2655,6148,23.61786337497716,14.685239026588585,1.932,0.1765,0.4088,0.4483,49.73,36821.0,76.1,84.0,71.6,65.2,32.1,16.57,,,,6.933333333333334,6.666666666666667,6.800000000000001,69.32,위험도합성지수(Ridge),4.923,49.73,7.829,6307867080.0,,,,15846900000000.0,0.039805053859114405,63.0786708,,,,,,,4.1942139373447835,,,
2019,경기,1486944,57782,2614,25.73,4.524,16806.0,1503945.0,1.117,0.9,1.8,6834,67972,74430,-6458,33440,2745,6703,24.31599804247536,15.296047049355645,2.249,0.1846,0.4508,0.4596,57.71,36064.0,78.3,86.7,73.5,65.1,35.8,16.15,,,,6.4,5.533333333333334,5.966666666666667,72.15,위험도합성지수(Ridge),5.579,57.71,6.869,7046183350.0,,,,17518700000000.0,0.04022092592486885,70.4618335,,,,,,,4.738701222103859,,,
2020,경기,1474847,58139,2747,25.37,4.725,16773.0,1486944.0,1.128,1.0,1.9,6786,69262,71104,-1842,36371,2861,6467,24.89218543047137,15.80905336740362,2.466,0.194,0.4385,0.4601,58.54,36521.0,68.4,69.6,68.7,65.7,31.6,15.81,,,,8.966666666666667,9.633333333333333,9.3,86.27,위험도합성지수(Ridge),5.648,58.54,10.707,15067090490.0,,,,17324700000000.0,0.08696883922953932,150.6709049,,,,,,,10.216036300714583,,,
2021,경기,1487408,58846,2806,25.28,4.768,10385.0,1474847.0,0.704,0.6,1.1,3758,72740,77002,-4262,40628,3095,3055,25.009402188328693,16.047206723586676,2.731,0.2081,0.2054,0.2527,53.44,38879.0,77.6,83.6,74.5,67.8,39.3,15.47,,,,7.833333333333333,10.366666666666664,9.1,42.59,위험도합성지수(Ridge),5.228,53.44,10.476,74302474420.0,,,,18513500000000.0,0.4013421255840333,743.0247442,,,,,,,49.954332920086486,,,
2022,경기,1488586,60470,2944,24.62,4.869,13783.0,1487408.0,0.927,0.7,1.6,5569,68843,71616,-2773,44021,3372,3906,25.10959324515399,16.363976563673777,2.957,0.2265,0.2624,0.3741,64.77,39969.0,82.1,88.5,79.1,71.2,44.6,14.98,,,,11.1,10.766666666666666,10.933333333333334,53.42,위험도합성지수(Ridge),6.16,64.77,12.587,143689592000.0,1106812639790.0,10735798220.0,47098673880.0,19195902297000.0,0.7485430472442876,1436.89592,5.7658797313371215,11068.1263979,0.05592755190089619,107.3579822,0.24535795791876236,470.9867388,96.52757180303993,743.5328827424146,7.212077918239188,31.639874269944766
2023,경기,1480690,60426,3097,24.5,5.125,17278.0,1488586.0,1.161,0.9,2.1,7040,52943,52374,569,48820,3723,5270,25.32584818656863,16.647459806160132,3.297,0.2514,0.3559,0.4755,76.76,39969.0,81.9,88.3,78.3,71.7,46.9,14.87,,,,9.366666666666667,11.300000000000002,10.333333333333336,77.7,위험도합성지수(Ridge),7.147,76.76,11.896,153423405000.0,1053174752960.0,12838979190.0,53206999100.0,22334511186000.0,0.6869342414629195,1534.23405,4.715459157307031,10531.7475296,0.05748493478580311,128.3897919,0.23822773042533335,532.069991,103.61615530597223,711.2729558246493,8.670943404763996,35.93392209037678
2024,경기,1467041,61559,3283,23.83,5.333,17365.0,1480690.0,1.173,0.9,2.2,7568,59657,60266,-609,53671,4040,4789,25.55892123330324,17.537822345894515,3.658,0.2754,0.3264,0.5159,84.54,39969.0,82.7,89.4,79.9,72.2,51.3,14.41,,,,9.999999999999998,9.466666666666669,9.733333333333333,81.23,위험도합성지수(Ridge),7.787,84.54,11.206,37078152000.0,1081323135540.0,16571583710.0,173624929280.0,22057431638000.0,0.1680982292431666,370.78152,4.9023075455309275,10813.2313554,0.07512925340523728,165.7158371,0.7871493478002364,1736.2492928,25.27410754028006,737.0776519129322,11.295924047112521,118.3504273432031
