연도,시도,총학생수,총학급수,특수학급수,학급당_학생수,특수학급_비율,총학업중단자,총학생수_기준,학업중단률,학업중단률_중,학업중단률_고,자퇴_합계,전출_합계,전입_합계,순전출,다문화학생_합계,중도입국_합계,해외출국_합계,학생1인당_교지면적_평균,학생1인당_건물면적_평균,다문화학생_비율,중도입국_비율,해외출국_비율,자퇴_비율,proxy_index,GRDP_1인당,사교육_참여율,사교육_참여율_초,사교육_참여율_중,사교육_참여율_고,사교육비_1인당_만원,교원1인당_학생수,미달률_고_실측,미달률_중_실측,미달률_평균_실측,전국_미달률_중,전국_미달률_고,전국_미달률_평균,proxy_index_old,proxy_index_source,proxy_risk_pct,proxy_risk_score,proxy_index_v3,학력향상_억원,학력향상_세출비중,세출액,학력향상_학생당_천원
2023,강원,142979,7576,370,18.87,4.884,1343.0,146273.0,0.918,0.6,2.1,745,5530,5471,59,5041,199,193,85.72605933957682,27.12960956760516,3.526,0.1392,0.135,0.5211,74.28,34426.0,72.6,82.2,69.8,57.3,32.4,12.71,,,,9.366666666666667,11.300000000000002,10.333333333333336,37.01,위험도합성지수(Ridge),6.943,74.28,12.634,60.30822,0.14557157053695072,4142857000000.0,42.17977465222165
2024,강원,139174,7483,379,18.6,5.065,1354.0,142979.0,0.947,0.6,2.2,783,5868,5305,563,5163,234,152,87.20831877740646,27.60121814117915,3.71,0.1681,0.1092,0.5626,80.51,34426.0,73.4,85.0,69.8,56.3,33.9,12.5,,,,9.999999999999998,9.466666666666669,9.733333333333333,44.48,위험도합성지수(Ridge),7.455,80.51,11.901,174.11502,0.43847747362058975,3970900000000.0,125.10599680974894
2013,경기,1658419,55909,2344,29.66,4.193,19602.0,1701253.0,1.152,1.1,2.0,8695,78807,79558,-751,12460,1550,8221,20.774236956220008,11.665813780449042,0.751,0.0935,0.4957,0.5243,31.22,27492.0,72.0,85.3,71.2,51.4,25.3,19.05,4.766666666666667,3.7,4.233333333333333,,,,100.0,위험도합성지수(Ridge),3.4,31.22,4.233,41.5539042,0.03752757109700259,11072900000000.0,2.5056336305843097
2014,경기,1624893,56948,2406,28.53,4.225,17587.0,1658419.0,1.06,0.9,1.7,7607,70739,70938,-199,16003,1803,7690,21.309430861021617,12.17701442399383,0.985,0.111,0.4733,0.4682,34.03,28638.0,72.8,85.3,72.0,53.5,26.0,18.24,5.083333333333334,3.533333333333333,4.308333333333334,,,,82.73,위험도합성지수(Ridge),3.631,34.03,4.308,68.3744098,0.05632112569089216,12140100000000.0,4.2079330639002075
2015,경기,1587723,56706,2391,28.0,4.216,15463.0,1624893.0,0.952,0.8,1.5,6549,67113,66859,254,18870,2087,6852,21.385393340833264,12.878256985108791,1.188,0.1314,0.4316,0.4125,35.37,30748.0,72.3,83.6,71.6,54.1,26.5,17.9,5.400000000000001,3.3666666666666667,4.383333333333334,3.533333333333333,4.166666666666667,3.85,74.7,위험도합성지수(Ridge),3.741,35.37,4.383,31.931158,0.025572339948424713,12486600000000.0,2.011129019356651
2016,경기,1548781,56567,2447,27.38,4.326,14143.0,1587723.0,0.891,0.8,1.3,5701,67779,68105,-326,23714,2500,6571,22.123899476706388,13.557733730621182,1.531,0.1614,0.4243,0.3681,40.81,32336.0,71.5,81.7,66.3,59.3,27.9,17.47,5.7,3.8,4.75,3.633333333333333,4.533333333333333,4.083333333333333,69.78,위험도합성지수(Ridge),4.189,40.81,4.75,35.2813563,0.02640128431922775,13363500000000.0,2.278008078611502
2017,경기,1523636,56618,2514,26.91,4.44,14330.0,1548781.0,0.925,0.8,1.4,6170,61862,64582,-2720,25718,2587,6179,26.91604631086212,14.126580882304738,1.688,0.1698,0.4055,0.405,44.79,35307.0,74.0,86.0,66.0,60.0,28.7,16.96,,,,4.3,6.333333333333333,5.316666666666666,69.25,위험도합성지수(Ridge),4.516,44.79,6.121,41.0210385,0.02893206461942109,14178400000000.0,2.6923122386186726
2018,경기,1503945,57058,2594,26.36,4.546,15576.0,1523636.0,1.022,0.8,1.6,6742,62325,67203,-4878,29061,2655,6148,23.61786337497716,14.685239026588585,1.932,0.1765,0.4088,0.4483,49.73,36821.0,76.1,84.0,71.6,65.2,32.1,16.57,,,,6.933333333333334,6.666666666666667,6.800000000000001,69.32,위험도합성지수(Ridge),4.923,49.73,7.829,63.0786708,0.039805053859114405,15846900000000.0,4.1942139373447835
2019,경기,1486944,57782,2614,25.73,4.524,16806.0,1503945.0,1.117,0.9,1.8,6834,67972,74430,-6458,33440,2745,6703,24.31599804247536,15.296047049355645,2.249,0.1846,0.4508,0.4596,57.71,36064.0,78.3,86.7,73.5,65.1,35.8,16.15,,,,6.4,5.533333333333334,5.966666666666667,72.15,위험도합성지수(Ridge),5.579,57.71,6.869,70.4618335,0.04022092592486885,17518700000000.0,4.738701222103859
2020,경기,1474847,58139,2747,25.37,4.725,16773.0,1486944.0,1.128,1.0,1.9,6786,69262,71104,-1842,36371,2861,6467,24.89218543047137,15.80905336740362,2.466,0.194,0.4385,0.4601,58.54,36521.0,68.4,69.6,68.7,65.7,31.6,15.81,,,,8.966666666666667,9.633333333333333,9.3,86.27,위험도합성지수(Ridge),5.648,58.54,10.707,150.6709049,0.08696883922953932,17324700000000.0,10.216036300714585
2021,경기,1487408,58846,2806,25.28,4.768,10385.0,1474847.0,0.704,0.6,1.1,3758,72740,77002,-4262,40628,3095,3055,25.009402188328693,16.047206723586676,2.731,0.2081,0.2054,0.2527,53.44,38879.0,77.6,83.6,74.5,67.8,39.3,15.47,,,,7.833333333333333,10.366666666666664,9.1,42.59,위험도합성지수(Ridge),5.228,53.44,10.476,743.0247442,0.4013421255840333,18513500000000.0,49.954332920086486
2022,경기,1488586,60470,2944,24.62,4.869,13783.0,1487408.0,0.927,0.7,1.6,5569,68843,71616,-2773,44021,3372,3906,25.10959324515399,16.363976563673777,2.957,0.2265,0.2624,0.3741,64.77,39969.0,82.1,88.5,79.1,71.2,44.6,14.98,,,,11.1,10.766666666666666,10.933333333333334,53.42,위험도합성지수(Ridge),6.16,64.77,12.587,1436.89592,0.7485430472442876,19195902297000.0,96.52757180303993
2023,경기,1480690,60426,3097,24.5,5.125,17278.0,1488586.0,1.161,0.9,2.1,7040,52943,52374,569,48820,3723,5270,25.32584818656863,16.647459806160132,3.297,0.2514,0.3559,0.4755,76.76,39969.0,81.9,88.3,78.3,71.7,46.9,14.87,,,,9.366666666666667,11.300000000000002,10.333333333333336,77.7,위험도합성지수(Ridge),7.147,76.76,11.896,1534.23405,0.6869342414629195,22334511186000.0,103.61615530597223
2024,경기,1467041,61559,3283,23.83,5.333,17365.0,1480690.0,1.173,0.9,2.2,7568,59657,60266,-609,53671,4040,4789,25.55892123330324,17.537822345894515,3.658,0.2754,0.3264,0.5159,84.54,39969.0,82.7,89.4,79.9,72.2,51.3,14.41,,,,9.999999999999998,9.466666666666669,9.733333333333333,81.23,위험도합성지수(Ridge),7.787,84.54,11.206,370.78152,0.1680982292431666,22057431638000.0,25.27410754028006
2013,경남,442189,16794,658,26.33,3.918,3389.0,459039.0,0.738,0.6,1.6,2005,16445,15586,859,3610,157,893,34.463943795299734,14.068998719059332,0.816,0.0355,0.2019,0.4534,17.25,30416.0,67.3,83.8,66.5,43.5,20.8,16.87,3.033333333333333,3.1,3.0666666666666664,,,,53.11,위험도합성지수(Ridge),2.25,17.25,3.067,94.8914681,0.24206019167584994,3920160000000.0,21.459481827906167
2014,경남,429226,16640,703,25.79,4.225,2898.0,442189.0,0.655,0.5,1.3,1593,15407,14911,496,4753,165,833,35.67987235581116,14.692287474857288,1.107,0.0384,0.1941,0.3711,18.28,30555.0,67.1,82.8,65.8,44.5,20.3,16.43,3.5166666666666666,3.5166666666666666,3.5166666666666666,,,,41.68,위험도합성지수(Ridge),2.335,18.28,3.517,31.2018714,0.0738981578673134,4222280000000.0,7.269333963925764
2015,경남,415891,16465,663,25.26,4.027,2379.0,429226.0,0.554,0.4,1.1,1344,15417,14941,476,6390,217,675,37.33347747899132,15.544964936255552,1.536,0.0522,0.1623,0.3232,21.88,32007.0,66.9,80.7,65.9,46.4,20.4,15.98,4.0,3.9333333333333336,3.966666666666667,3.533333333333333,4.166666666666667,3.85,31.34,위험도합성지수(Ridge),2.631,21.88,3.967,18.7730832,0.04579906660388728,4099010000000.0,4.5139431245206065
2016,경남,402301,16335,659,24.63,4.034,2246.0,415891.0,0.54,0.4,1.1,1260,16175,15678,497,7738,324,650,38.75062579995354,16.440025622406182,1.923,0.0805,0.1616,0.3132,28.95,32758.0,65.2,78.4,60.0,49.0,20.9,15.46,5.033333333333334,3.4333333333333336,4.233333333333334,3.633333333333333,4.533333333333333,4.083333333333333,32.5,위험도합성지수(Ridge),3.213,28.95,4.233,31.0206411,0.06970946249317414,4449990000000.0,7.7108038757050075
2017,경남,392080,16347,638,23.98,3.903,2263.0,402301.0,0.563,0.3,1.3,1397,13422,12234,1188,8455,376,483,40.17322495948592,17.23974603894844,2.156,0.0959,0.1232,0.3563,34.6,32789.0,70.0,84.5,63.5,51.1,22.1,15.03,,,,4.3,6.333333333333333,5.316666666666666,28.33,위험도합성지수(Ridge),3.678,34.6,5.495,33.4337077,0.0692564871818242,4827520000000.0,8.527266807794327
2018,경남,384328,16591,731,23.16,4.406,2361.0,392080.0,0.602,0.4,1.3,1394,13478,13890,-412,9459,342,450,41.35039290110827,17.965081366004302,2.461,0.089,0.1171,0.3627,37.01,32993.0,70.3,81.9,64.7,53.8,22.6,14.62,,,,6.933333333333334,6.666666666666667,6.800000000000001,28.47,위험도합성지수(Ridge),3.876,37.01,7.029,34.9896597,0.06591375875970161,5308400000000.0,9.104114116067525
2019,경남,377123,16640,741,22.66,4.453,2305.0,384328.0,0.6,0.4,1.3,1295,12331,12158,173,10681,407,422,42.68526716613644,18.8775205088392,2.832,0.1079,0.1119,0.3434,43.3,34040.0,72.0,80.9,69.8,55.7,24.8,14.24,,,,6.4,5.533333333333334,5.966666666666667,26.07,위험도합성지수(Ridge),4.394,43.3,6.167,31.7153152,0.05251540789900717,6039240000000.0,8.409806667851074
2020,경남,371039,16778,808,22.11,4.816,2299.0,377123.0,0.61,0.5,1.4,1264,13205,12623,582,11448,459,412,43.524370515807966,19.55711064640402,3.085,0.1237,0.111,0.3407,47.34,33186.0,64.8,68.5,64.5,57.2,24.1,13.71,,,,8.966666666666667,9.633333333333333,9.3,37.15,위험도합성지수(Ridge),4.726,47.34,9.613,48.4221139,0.08169957717843374,5926850000000.0,13.050410846299176
2021,경남,370341,16662,829,22.23,4.975,1559.0,371039.0,0.42,0.3,1.0,900,14715,13999,716,12311,470,141,43.70021551668113,19.8402397138916,3.324,0.1269,0.0381,0.243,46.83,34046.0,72.7,80.2,67.4,62.3,27.6,13.46,,,,7.833333333333333,10.366666666666664,9.1,11.83,위험도합성지수(Ridge),4.684,46.83,9.406,255.0783988,0.4205591863114611,6065220000000.0,68.8766295927267
2022,경남,367073,16800,881,21.85,5.244,1959.0,370341.0,0.529,0.3,1.3,1090,13367,12139,1228,12893,472,246,44.18198272199189,20.17997163819573,3.512,0.1286,0.067,0.2969,52.02,36501.0,75.3,81.8,73.0,63.4,31.1,13.02,,,,11.1,10.766666666666666,10.933333333333334,15.78,위험도합성지수(Ridge),5.111,52.02,11.301,327.9232,0.5420604446923328,6049568885000.0,89.33460101941576
2023,경남,361744,16917,937,21.38,5.539,2401.0,367073.0,0.654,0.4,1.6,1324,10857,9865,992,13455,532,306,44.57595536217576,20.505089957831743,3.719,0.1471,0.0846,0.366,58.9,36501.0,74.9,81.8,74.0,61.5,32.4,12.75,,,,9.366666666666667,11.300000000000002,10.333333333333336,30.84,위험도합성지수(Ridge),5.677,58.9,10.681,427.08705,0.5942832608878958,7186590606000.0,118.06334037330267
2024,경남,355074,16816,975,21.12,5.798,2631.0,361744.0,0.727,0.5,1.6,1405,10894,9841,1053,14165,565,377,44.70060553685912,20.71866178801008,3.989,0.1591,0.1062,0.3957,66.07,36501.0,78.4,87.4,76.8,62.7,37.6,12.52,,,,9.999999999999998,9.466666666666669,9.733333333333333,33.08,위험도합성지수(Ridge),6.267,66.07,10.061,209.94744,0.2958297766238124,7096900197000.0,59.12779871238108
2013,경북,319383,12760,525,25.03,4.114,2358.0,332449.0,0.709,0.5,1.6,1502,12652,11595,1057,3402,118,300,53.98563403631459,17.001347787287933,1.065,0.0369,0.0939,0.4703,16.33,36533.0,64.3,80.5,67.2,38.7,18.7,18.21,1.5666666666666669,2.1333333333333333,1.85,,,,57.51,위험도합성지수(Ridge),2.175,16.33,1.85,99.4849082,0.28768827846666356,3458080000000.0,31.149093157744776
2014,경북,308753,12634,538,24.44,4.258,2091.0,319383.0,0.655,0.5,1.4,1293,10690,9613,1077,4221,131,383,56.96159950457897,18.06995311517083,1.367,0.0424,0.124,0.4188,19.97,38742.0,64.5,80.3,70.1,37.0,19.1,17.55,1.95,2.55,2.25,,,,50.55,위험도합성지수(Ridge),2.474,19.97,2.25,60.5923804,0.16518737329952837,3668100000000.0,19.624871790719443
2015,경북,297562,12596,556,23.62,4.414,1778.0,308753.0,0.576,0.4,1.2,1098,10776,9567,1209,5461,179,358,58.92039324933459,18.76909510977849,1.835,0.0602,0.1203,0.369,25.34,38510.0,64.5,79.4,70.0,38.2,19.0,16.97,2.333333333333333,2.9666666666666663,2.65,3.533333333333333,4.166666666666667,3.85,42.28,위험도합성지수(Ridge),2.916,25.34,2.65,47.6901734,0.1337023945229598,3566890000000.0,16.026970312069416
2016,경북,286749,12450,556,23.03,4.466,1616.0,297562.0,0.543,0.4,1.1,942,9661,9134,527,6576,208,378,60.97085678938789,19.77756760108791,2.293,0.0725,0.1318,0.3285,30.55,40040.0,64.0,82.3,63.5,37.9,19.3,16.54,2.4,3.6666666666666665,3.033333333333333,3.633333333333333,4.533333333333333,4.083333333333333,39.47,위험도합성지수(Ridge),3.345,30.55,3.033,36.7647613,0.09350237871188924,3931960000000.0,12.821234354784151
2017,경북,278474,12368,555,22.52,4.487,1711.0,286749.0,0.597,0.4,1.3,1062,9813,9712,101,7344,222,272,62.60568304912954,20.67006091765028,2.637,0.0797,0.0977,0.3814,36.29,41130.0,67.3,81.0,69.1,45.4,20.6,16.05,,,,4.3,6.333333333333333,5.316666666666666,37.03,위험도합성지수(Ridge),3.817,36.29,3.809,39.1481121,0.08839719486255436,4428660000000.0,14.058085171326587
2018,경북,270775,12366,579,21.9,4.682,1668.0,278474.0,0.599,0.4,1.3,1039,10212,9127,1085,8191,226,283,65.14908668934594,22.05669163782101,3.025,0.0835,0.1045,0.3837,41.94,40677.0,67.7,80.4,66.6,47.6,21.4,15.52,,,,6.933333333333334,6.666666666666667,6.800000000000001,34.24,위험도합성지수(Ridge),4.282,41.94,4.871,54.8752255,0.12376065182973311,4433980000000.0,20.26598670482873
2019,경북,264039,12518,605,21.09,4.833,1830.0,270775.0,0.676,0.5,1.4,1075,10058,8548,1510,9092,262,330,67.64496384583957,23.300687078581888,3.443,0.0992,0.125,0.4071,50.67,40082.0,69.7,80.2,66.4,53.3,22.5,15.05,,,,6.4,5.533333333333334,5.966666666666667,35.24,위험도합성지수(Ridge),5.0,50.67,4.274,62.161425,0.12009711298259444,5175930000000.0,23.54251644643405
2020,경북,258477,12506,628,20.67,5.022,1845.0,264039.0,0.699,0.5,1.6,1064,10219,9750,469,10029,273,331,69.58890401495573,24.36188090786443,3.88,0.1056,0.1281,0.4116,54.92,39887.0,60.5,63.5,62.8,52.4,20.7,14.7,,,,8.966666666666667,9.633333333333333,9.3,48.12,위험도합성지수(Ridge),5.35,54.92,6.662,90.9395778,0.18677758453193452,4868870000000.0,35.18285100802006
2021,경북,256611,12512,644,20.51,5.147,1228.0,258477.0,0.475,0.3,1.1,746,9196,8635,561,10751,288,200,70.59770861509826,24.967358357875167,4.19,0.1122,0.0779,0.2907,56.59,42896.0,71.8,79.7,73.4,54.9,27.9,14.2,,,,7.833333333333333,10.366666666666664,9.1,16.15,위험도합성지수(Ridge),5.487,56.59,6.519,379.2024442,0.7026353179441379,5396860000000.0,147.7732615515313
2022,경북,254181,12686,661,20.04,5.21,1696.0,256611.0,0.661,0.4,1.6,1041,8744,8326,418,11445,318,269,69.75152975000829,25.588553125763752,4.503,0.1251,0.1058,0.4096,65.42,43886.0,72.8,81.4,72.4,55.7,29.4,13.74,,,,11.1,10.766666666666666,10.933333333333334,31.68,위험도합성지수(Ridge),6.214,65.42,7.832,373.84622,0.7307172814331497,5116154079000.0,147.0787431003891
2023,경북,249989,12638,683,19.78,5.404,1905.0,254181.0,0.749,0.4,1.9,1194,7761,6655,1106,12193,367,270,70.33305010589004,25.907044445616908,4.877,0.1468,0.108,0.4776,73.55,43886.0,73.8,84.8,70.8,55.3,31.5,13.63,,,,9.366666666666667,11.300000000000002,10.333333333333336,43.49,위험도합성지수(Ridge),6.883,73.55,7.403,501.41567,0.8465715783130996,5922897518000.0,200.5750933041054
2024,경북,243809,12485,715,19.53,5.727,2000.0,249989.0,0.8,0.4,2.0,1255,7567,6392,1175,12775,389,226,70.47561298712777,26.423754446246665,5.24,0.1596,0.0927,0.5147,80.12,43886.0,75.4,86.2,73.0,58.0,35.6,13.44,,,,9.999999999999998,9.466666666666669,9.733333333333333,46.96,위험도합성지수(Ridge),7.423,80.12,6.973,177.35182,0.3251699471416566,5454127036000.0,72.74211370375991
2013,광주,228553,7839,254,29.16,3.24,1918.0,237425.0,0.808,0.6,1.7,1090,10452,10839,-387,1251,98,453,24.646778799889464,12.459810617261128,0.547,0.0429,0.1982,0.4769,16.13,20789.0,69.8,83.5,74.3,46.0,23.9,19.43,1.9666666666666668,3.6666666666666665,2.8166666666666664,,,,67.4,위험도합성지수(Ridge),2.158,16.13,2.817,54.7571211,0.32533299130775767,1683110000000.0,23.95817210887628
2014,광주,220481,7787,254,28.31,3.262,1729.0,228553.0,0.756,0.5,1.6,988,9077,9523,-446,1520,153,400,25.512328405209747,13.144755971321237,0.689,0.0694,0.1814,0.4481,19.59,21944.0,68.7,80.5,73.1,47.7,23.1,18.75,2.5166666666666666,4.45,3.4833333333333334,,,,61.52,위험도합성지수(Ridge),2.443,19.59,3.483,60.7897688,0.33254433102482467,1828020000000.0,27.571431914768166
2015,광주,212362,7794,255,27.25,3.272,1437.0,220481.0,0.652,0.5,1.4,853,9995,10296,-301,1898,128,288,26.65583864852754,19.21972300510312,0.894,0.0603,0.1356,0.4017,20.48,23139.0,68.8,81.6,73.1,46.7,22.8,18.15,3.0666666666666664,5.233333333333333,4.15,3.533333333333333,4.166666666666667,3.85,47.66,위험도합성지수(Ridge),2.516,20.48,4.15,34.5699898,0.19748073348376224,1750550000000.0,16.278802139742513
2016,광주,202963,7726,255,26.27,3.301,1386.0,212362.0,0.653,0.5,1.3,773,7642,7360,282,2401,139,294,28.164614424046253,14.752412421743168,1.183,0.0685,0.1449,0.3809,21.49,24511.0,64.8,76.5,64.6,48.2,22.8,17.66,2.533333333333333,4.633333333333333,3.583333333333333,3.633333333333333,4.533333333333333,4.083333333333333,47.28,위험도합성지수(Ridge),2.599,21.49,3.583,40.3700981,0.22143776829448902,1823090000000.0,19.890373171464752
2017,광주,195065,7713,258,25.29,3.345,1449.0,202963.0,0.714,0.5,1.3,768,7690,7551,139,2606,104,304,29.80364295438694,15.566299312275612,1.336,0.0533,0.1558,0.3937,23.69,25240.0,68.7,79.6,67.6,53.1,24.5,17.16,,,,4.3,6.333333333333333,5.316666666666666,35.45,위험도합성지수(Ridge),2.78,23.69,5.183,43.065893,0.21317743875576062,2020190000000.0,22.077714095301566
2018,광주,187950,7707,257,24.39,3.335,1405.0,195065.0,0.72,0.5,1.4,770,7322,7225,97,3038,151,226,31.48880116174957,16.435221260463845,1.616,0.0803,0.1202,0.4097,29.81,26654.0,69.4,79.0,71.9,51.6,26.2,16.7,,,,6.933333333333334,6.666666666666667,6.800000000000001,37.87,위험도합성지수(Ridge),3.284,29.81,6.629,31.4223211,0.14794981331073287,2123850000000.0,16.71844698057994
2019,광주,181106,7668,256,23.62,3.339,1390.0,187950.0,0.74,0.5,1.4,725,6589,6278,311,3551,147,235,33.2771324899304,17.378918282700834,1.961,0.0812,0.1298,0.4003,34.38,27799.0,73.7,82.1,73.2,59.1,27.6,16.36,,,,6.4,5.533333333333334,5.966666666666667,27.32,위험도합성지수(Ridge),3.66,34.38,5.816,48.4503051,0.2035650126675882,2380090000000.0,26.752457179773174
2020,광주,175446,7625,273,23.01,3.58,1388.0,181106.0,0.766,0.4,1.5,709,6907,6826,81,3865,162,302,34.35108528680812,18.09467873545803,2.203,0.0923,0.1721,0.4041,39.21,28433.0,67.1,70.2,68.9,59.4,29.9,16.04,,,,8.966666666666667,9.633333333333333,9.3,32.39,위험도합성지수(Ridge),4.057,39.21,9.066,53.6239169,0.23255898942675493,2305820000000.0,30.564342817733092
2021,광주,172634,7596,280,22.73,3.686,887.0,175446.0,0.506,0.3,1.0,437,7191,7103,88,4182,179,97,34.91546855694535,18.54761121069817,2.422,0.1037,0.0562,0.2531,36.87,29779.0,73.6,78.8,74.8,62.1,32.0,15.59,,,,7.833333333333333,10.366666666666664,9.1,6.7,위험도합성지수(Ridge),3.865,36.87,8.871,140.921385,0.552877883140372,2548870000000.0,81.63014527845034
2022,광주,169208,7566,280,22.36,3.701,1105.0,172634.0,0.64,0.3,1.5,614,6452,6379,73,4371,179,108,36.52555764246926,19.43203908701624,2.583,0.1058,0.0638,0.3629,43.13,30900.0,74.9,79.9,75.7,64.0,35.6,15.37,,,,11.1,10.766666666666666,10.933333333333334,15.76,위험도합성지수(Ridge),4.38,43.13,10.658,239.96077,0.9257631292990864,2592032048000.0,141.81408089452037
2023,광주,166287,7534,293,22.07,3.889,1409.0,169208.0,0.833,0.4,2.0,821,6173,6346,-173,4884,230,179,36.89967062849536,19.750883967282096,2.937,0.1383,0.1076,0.4937,56.54,30900.0,76.3,82.5,76.5,63.9,39.6,14.81,,,,9.366666666666667,11.300000000000002,10.333333333333336,35.5,위험도합성지수(Ridge),5.483,56.54,10.073,254.88476,0.83362791882731,3057536273000.0,153.28002790356433
2024,광주,162736,7504,299,21.69,3.985,1623.0,166287.0,0.976,0.6,2.4,991,5489,5313,176,5225,207,142,37.273205235059855,19.987640259168803,3.211,0.1272,0.0873,0.609,60.82,30900.0,78.2,84.8,77.3,67.0,41.3,14.63,,,,9.999999999999998,9.466666666666669,9.733333333333333,46.85,위험도합성지수(Ridge),5.835,60.82,9.488,125.94667,0.46963546244071047,2681796416000.0,77.39324427293285
